game_id,agent1_points,agent2_points,first_player,point_differential
1196,63,57,0,6
1197,77,43,0,34
1198,61,59,0,2
1199,60,60,0,0
1200,73,47,0,26
1201,102,18,0,84
1202,55,65,0,-10
1203,105,15,0,90
1204,64,56,0,8
1205,67,53,0,14
1206,84,36,0,48
1207,64,56,0,8
1208,104,16,0,88
1209,86,34,0,52
1210,92,28,0,64
1211,85,35,0,50
1212,86,34,0,52
1213,61,59,0,2
1214,110,10,0,100
1215,47,73,0,-26
1216,47,73,0,-26
1217,40,80,0,-40
1218,71,49,0,22
1219,60,60,0,0
1220,69,51,0,18
1221,83,37,0,46
1222,67,53,0,14
1223,76,44,0,32
1224,43,77,0,-34
1225,75,45,0,30
1226,84,36,0,48
1227,102,18,0,84
1228,81,39,0,42
1229,57,63,0,-6
1230,79,41,0,38
1231,105,15,0,90
1232,66,54,0,12
1233,83,37,0,46
1234,60,60,0,0
1235,62,58,0,4
1236,64,56,0,8
1237,77,43,0,34
1238,86,34,0,52
1239,82,38,0,44
1240,60,60,0,0
1241,93,27,0,66
1242,51,69,0,-18
1243,63,57,0,6
1244,65,55,0,10
1245,48,72,0,-24
1246,68,52,0,16
1247,70,50,0,20
1248,59,61,0,-2
1249,63,57,0,6
1250,48,72,0,-24
1251,56,64,0,-8
1252,62,58,0,4
1253,83,37,0,46
1254,96,24,0,72
1255,54,66,0,-12
1256,49,71,0,-22
1257,80,40,0,40
1258,62,58,0,4
1259,59,61,0,-2
1260,90,30,0,60
1261,79,41,0,38
1262,66,54,0,12
1263,89,31,0,58
1264,77,43,0,34
1265,77,43,0,34
1266,60,60,0,0
1267,28,92,0,-64
1268,80,40,0,40
1269,115,5,0,110
1270,48,72,0,-24
1271,45,75,0,-30
1272,34,86,0,-52
1273,78,42,0,36
1274,39,81,0,-42
1275,29,91,0,-62
1276,107,13,0,94
1277,39,81,0,-42
1278,57,63,0,-6
1279,76,44,0,32
1280,86,34,0,52
1281,96,24,0,72
1282,79,41,0,38
1283,76,44,0,32
1284,57,63,0,-6
1285,66,54,0,12
1286,59,61,0,-2
1287,76,44,0,32
1288,62,58,0,4
1289,50,70,0,-20
1290,58,62,0,-4
1291,82,38,0,44
1292,102,18,0,84
1293,115,5,0,110
1294,67,53,0,14
1295,83,37,0,46
1296,59,61,0,-2
1297,76,44,0,32
1298,68,52,0,16
1299,71,49,0,22
